序號,資料產製時間,常用搜尋關鍵字,網址,Y座標(WGS84),X座標(WGS84),開放時間,開車及搭乘大眾運輸文字描述,三碼郵遞區號,景點(或景區)地址,景點(或景區)服務電話(國碼-區碼-電話號碼),Description景點(或景區)特色精簡版文字簡述,景點(或景區)特色詳細文字簡述,景點(或景區)中文名稱,FB ID
273,2016/09/22 16:24:08,,http://www.emmahouse.com.tw/,25.02421,121.46071,11:30~21:00,【大眾運輸】　1.搭乘捷運至新埔捷運站，步行約15~20分鐘　2.搭乘公車橘5、658公車、857公車，至新埔國中下車　3.搭乘藍32公車，至新海派出所下車　　【自行開車】　1.沿國道1號和國道3號前往臺北的新北市特一號道路/民生陸橋(大漢橋/長江路/文化路)/106甲縣道。從台64線的 20-板橋 號出口下交流道，朝板橋/台北/萬新路前進，走陽明街前往雨農,220,新北市板橋區雨農路58號B1,886-2-22596148,本館為親子餐廳是在2012年6月新開幕的，位於新北市板橋，佔地有700坪，裡面有各式各樣的多元親子課程與活動。 主題餐廳分出好幾個不同的場區，裡面有美食用餐區、室內遊樂球池館、才藝美學館且整個遊樂空間還蠻大的，另外也有說故事館、還有DIY等的才藝課程。,本館為親子餐廳是在2012年6月新開幕的，位於新北市板橋，佔地有700坪，裡面有各式各樣的多元親子課程與活動。 主題餐廳分出好幾個不同的場區，裡面有美食用餐區、室內遊樂球池館、才藝美學館且整個遊樂空間還蠻大的，另外也有說故事館、還有DIY等的才藝課程。 可以用餐，一邊看小朋友玩一邊吃飯，增進親子感情一起旅遊的好去處。,艾瑪親子多元智能館,425638357458775 
274,2016/08/29 15:05:05,"鶯歌,藝術文化",www.facebook.com/si.hu.ceramics,24.95171,121.35214,09:00~21:00,【大眾運輸】　1.於桃園總站搭乘5005、5001公車於陶瓷博物館(衛生所)站下車，即可到達。　2.於捷運永寧站搭乘917公車於陶瓷博物館(衛生所)站下車，即可到達。　3.於板橋捷運站轉搭702公車於陶瓷博物館(衛生所)站下車，即可到達。　　【自行開車】　從國道三號→下鶯歌交流道→經過三鶯大橋→下橋後至文化路直走,239,新北市鶯歌區文化路339號,886-2-26707103,「西湖陶坊」位於文化路上，走進「西湖陶坊」會發現這裡多為當地創作者的作品，風格與陶瓷老街的店面展售品有很大的差異，店裡處處都有寶，西湖陶坊倡導陶藝生活化、生活藝術化，鼓勵大家不要只是把陶瓷品放在架上展示，要放在日常生活中去真正使用它，養起來的陶瓷品才會光亮。店內有邵椋揚、郭聰等人的作品，還有日本人鍾愛的古川子作品，還有主人本身的花類繪製創作。,「西湖陶坊」位於文化路上，走進「西湖陶坊」會發現這裡多為當地創作者的作品，風格與陶瓷老街的店面展售品有很大的差異，店裡處處都有寶，西湖陶坊倡導陶藝生活化、生活藝術化，鼓勵大家不要只是把陶瓷品放在架上展示，要放在日常生活中去真正使用它，養起來的陶瓷品才會光亮。店內有邵椋揚、郭聰等人的作品，還有日本人鍾愛的古川子作品，還有主人本身的花類繪製創作。,西湖陶坊,si.hu.ceramics
275,2016/04/29 17:38:30,八里,,25.15009,121.42303,未提供,【大眾運輸】　1.自臺北市塔城街搭704客運，乙天宮站下車，步行可抵達目的地。　　【自行開車】　1.國道一號五股交流道下→縣107甲號路→五股→縣108號路至五股坑，循指標可達觀音山。（或五股→縣107號道至關渡大橋→臺15縣，循指標可達觀音山。）　2.臺北‧淡水過關渡大橋→右轉臺15線，循指標可達觀音山。,249,新北市八里區大崁里大堀湖22號,886-2-26102621,西龍巖寺傳說建於清乾隆年間，但確切可考據的時間為西元1805（嘉慶10）年，與八里天后宮以及大眾爺廟同為八里三大古剎。位於八里渡船頭的登山路上，站在廟前寬廣的廟庭，從上往下望去，俯瞰淡水，視野無涯，一直以來就是欣賞美景的勝地。廟有新舊兩座，來此便能感受到新舊兩座廟宇的建築特色之美。,西龍巖寺傳說建於清乾隆年間，但確切可考據的時間為西元1805（嘉慶10）年，與八里天后宮以及大眾爺廟同為八里三大古剎。位於八里渡船頭的登山路上，站在廟前寬廣的廟庭，從上往下望去，俯瞰淡水，視野無涯，一直以來就是欣賞美景的勝地。廟有新舊兩座，來此便能感受到新舊兩座廟宇的建築特色之美。,西龍巖寺,237910616381999 
276,2016/05/18 10:20:28,貢寮,,25.10511,121.92114,8:00~17:00,【大眾運輸】　1.搭乘台鐵至福隆站下車→轉搭基隆客運791至北勢坑口下車步行即可抵達　2.搭乘台鐵至基隆站下車→轉搭基隆客運791至北勢坑口下車步行即可抵達　　【自行開車】　1.國道1號前往瑞芳區瑞濱里的北部濱海公路/台2線→接台62線的東西向快速公路萬里瑞濱線(南瑞濱)-瑞芳瑞濱端出口下交流道→續走和美街即可到達,228,新北市貢寮區和美街49號,886-2-24902329,座落在龍洞岬崖上的西靈巖寺，是東北角海岸沿線最著名的廟宇之一，又稱佛祖廟，是適合觀海的地點。雖是建於嘉慶元年(1806年) ，但廟已重建，不見古意，殘存的古石柱被豎立於廟旁空地上，並未標示建造的年代；寺中有一口百餘年的大鐘，正殿前則有一副很別致的對聯。,座落在龍洞岬崖上的西靈巖寺，是東北角海岸沿線最著名的廟宇之一，又稱佛祖廟，是適合觀海的地點。雖是建於嘉慶元年(1806年) ，但廟已重建，不見古意，殘存的古石柱被豎立於廟旁空地上，並未標示建造的年代；寺中有一口百餘年的大鐘，正殿前則有一副很別致的對聯。,西靈巖寺,227232084098774 
277,2016/10/18 11:27:20,石門,http://web2.fgs.org.tw/index.php?ihome=D50301,25.26554,121.56729,07:00-16:30,【大眾運輸】　1.搭乘捷運淡水線至淡水站下車，轉乘公車。　2.淡水客運867在北海道場站下車 。　3.達成指南客運 北門→石門(06:40 07:40 12:30 17:00 18:30)。　4.搭乘淡水→石門、茂林、金山、萬里、基隆之公車，請在石門鄉公所下車，再連絡北海道場接送　　【自行開車】　1.沿國道1號和國道3號前往臺北的國道一號五股交流道聯絡道/1,253,新北市石門區內石門靈山路106號,886-2-26382885,佛光山是個菩薩道場，主張佛光人要先入世後出世，先度生後度死，先生活後生死，先縮小後擴大，以常住大眾及佛教事業為優先，舉凡教育、文化、慈善、醫療等各種利生的事業，都積極參與。佛光教團提倡人間佛教，致力宣揚佛法與生活的融和，今日的佛光教團，是由許多默默耕耘的佛光人所凝聚而成，上承教主佛陀的真理妙諦，中循歷代祖師的遺風德範，下啟萬代子孫的幸福安樂。 佛光教團以悲智願行的菩薩精神，為佛光人組織的架構；以慈悲濟世的願心從事文化教育，為佛光人實踐的內容；以群我關係的調和，為佛光人思想的基礎；以散播人間歡喜，為佛光人修持的法門。佛光人均矢志發揚此佛光精神，俾能達到光大佛教，普利群倫的目的。,佛光山是個菩薩道場，主張佛光人要先入世後出世，先度生後度死，先生活後生死，先縮小後擴大，以常住大眾及佛教事業為優先，舉凡教育、文化、慈善、醫療等各種利生的事業，都積極參與。佛光教團提倡人間佛教，致力宣揚佛法與生活的融和，今日的佛光教團，是由許多默默耕耘的佛光人所凝聚而成，上承教主佛陀的真理妙諦，中循歷代祖師的遺風德範，下啟萬代子孫的幸福安樂。 佛光教團以悲智願行的菩薩精神，為佛光人組織的架構；以慈悲濟世的願心從事文化教育，為佛光人實踐的內容；以群我關係的調和，為佛光人思想的基礎；以散播人間歡喜，為佛光人修持的法門。佛光人均矢志發揚此佛光精神，俾能達到光大佛教，普利群倫的目的。,佛光山石門北海道場,542216132547144 
278,2016/03/30 15:05:18,觀光工廠,http://wufuyang.webg.tw/index.php,25.07585,121.40141,週一至週日9:30~17:30，國定假日照常開放，隔日休館,【大眾運輸】　1.台北客運920公車：於粉寮路站下車，步行約10分鐘抵達。　2.三重客運1210公車：於醒吾科技大學站下車，步行約10分鐘抵達。　3.桃園客運5063、5071公車：於醒吾科技大學站下車，步行約10分鐘抵達。,244,新北市林口區工二工業區工九路3號,886-2-26035008,吳福洋襪子故事館完整保存台灣織襪產業發展與企業歷史的珍貴史料，現場並展示織襪流程；館內展覽規劃結合傳統與創新，強調知識與趣味性，讓來參觀的您深入了解襪類織品在歷史歲月中的演變。並特別開發一款專屬的APP「好襪屋」，提供遊戲、新知、購物、旅遊All-in-one的服務。另外搭配季節性主題規劃的DIY課程，讓全家大小一同體驗百年前傳統手搖織襪的樂趣！,吳福洋襪子故事館完整保存台灣織襪產業發展與企業歷史的珍貴史料，現場並展示織襪流程；館內展覽規劃結合傳統與創新，強調知識與趣味性，讓來參觀的您深入了解襪類織品在歷史歲月中的演變。並特別開發一款專屬的APP「好襪屋」，提供遊戲、新知、購物、旅遊All-in-one的服務。另外搭配季節性主題規劃的DIY課程，讓全家大小一同體驗百年前傳統手搖織襪的樂趣！,吳福洋襪子故事館,wufuyang
279,2016/06/23 15:20:24,"鐵道,平溪鐵道遊,鐵道平溪站,平溪,山嶽",http://hike.ntpc.gov.tw/FS_A02.aspx?TRAIL_ID=226003,25.01972,121.73975,全天開放,【自行開車】 　1. 由國道1號，暖暖交流道下，轉接臺→轉106線道61.5K平溪國中。　2. 由國道5號，石碇交流道下，經石碇→轉106線道61.5K平溪國中。　　【大眾運輸】 　搭火車：臺鐵瑞芳站下車，轉平溪支線火車至平溪車站，往平溪國中走。 　搭公車：文湖線捷運-木柵站，轉乘795臺北客運【木柵平溪線】，平溪國中站。,226,新北市平溪區孝子山,886-2-24951510,因為遠看時，山形猶如大陸的「黃山」，因此孝子山也擁有「小黃山」的稱號。標高360公尺，登高可俯瞰基隆河縱谷，旁邊還有四、五座形狀奇特的險峰。孝子山小而陡峭，主峰是一座石山，可由106線道旁台電平溪服務所旁的產業道路步行而上，若攀登上最後一段經由一道鋼索做成的懸空鐵梯的垂直岩壁，便可將整個基隆河縱谷一覽無遺，並可見慈母峰與普陀山稜線上的石階，景色美不勝收。,因為遠看時，山形猶如大陸的「黃山」，因此孝子山也擁有「小黃山」的稱號。標高360公尺，登高可俯瞰基隆河縱谷，旁邊還有四、五座形狀奇特的險峰。孝子山小而陡峭，主峰是一座石山，可由106線道旁台電平溪服務所旁的產業道路步行而上，若攀登上最後一段經由一道鋼索做成的懸空鐵梯的垂直岩壁，便可將整個基隆河縱谷一覽無遺，並可見慈母峰與普陀山稜線上的石階，景色美不勝收。,孝子山,285602884890730 
280,2016/08/29 14:50:46,鶯歌,http://www.hjtilemuseum.com.tw/index.html,24.94018,121.32991,週二至週日9:30~17:00，每週一休館（國定假日照常開放，隔日休館）；農曆春節請參考網站公告為主。,【大眾運輸】　至鶯歌火車站下車，轉乘桃園客運5101大溪線至三口坡站下車或轉乘鶯歌免費巴士F651至中正三路291巷口站下車， 步行(約七分鐘)到本觀光工廠。 　　【自行開車】　1.3號國道在三鶯交流道下(往鶯歌方向)，過三鶯大橋走文化路→ 尖山路→中正三路→230巷→本觀光工廠 　2.1號國道在機場系統轉2號國道，在八德交流道下(往鶯歌方向)，走福德一路→,239,新北市鶯歌區中正三路230巷16號,886-2-86782786-8,宏洲窯業創立於1976年，曾是個擁有許多「台灣第一」的磁磚工廠：擁有全國最長一次燒成滾軸窯及全世界最大噸數成型機、也是第一家陶瓷業空氣污染防制示範觀摩工廠進入宏洲的廠房，原本應該塵土飛揚的磁磚工廠，竟然有如科技廠房一般清爽，令人驚豔。 1970年代臺灣經濟起飛，國內建築市場一片榮景，周賢寬董事長看準商機，創立宏洲窯業。經歷多次成長、擴張與衰退，曾創下磁磚業多個第一，為臺灣規模數一數二的磁磚工廠。同期間，全臺灣約有100家磁磚工廠、300條生產線，是僅次於義大利、西班牙的第三大磁磚生產國。 2010年台灣與中國簽訂兩岸經濟合作架構協議（ECFA)，陶瓷業為17項艱困產業之首。為此，宏洲窯業思考產業升級與轉型，除了持續磁磚創新研發工作，並轉型觀光工廠，作為產業歷史回顧與教學示範的磁磚工廠，是宏洲從製造業跨入服務業的重要里程碑。,宏洲窯業創立於1976年，曾是個擁有許多「台灣第一」的磁磚工廠：擁有全國最長一次燒成滾軸窯及全世界最大噸數成型機、也是第一家陶瓷業空氣污染防制示範觀摩工廠進入宏洲的廠房，原本應該塵土飛揚的磁磚工廠，竟然有如科技廠房一般清爽，令人驚豔。 1970年代臺灣經濟起飛，國內建築市場一片榮景，周賢寬董事長看準商機，創立宏洲窯業。經歷多次成長、擴張與衰退，曾創下磁磚業多個第一，為臺灣規模數一數二的磁磚工廠。同期間，全臺灣約有100家磁磚工廠、300條生產線，是僅次於義大利、西班牙的第三大磁磚生產國。 2010年台灣與中國簽訂兩岸經濟合作架構協議（ECFA)，陶瓷業為17項艱困產業之首。為此，宏洲窯業思考產業升級與轉型，除了持續磁磚創新研發工作，並轉型觀光工廠，作為產業歷史回顧與教學示範的磁磚工廠，是宏洲從製造業跨入服務業的重要里程碑。 全廠佔地9000坪，為了讓遊客安全得深入工廠內部，斥資打造一條直達製程核心的空中走道與瞭望台，可以近距離觀看磁磚製程，看到、聽到、聞到、摸到的都是磁磚工廠的味道。磁磚彩繪DIY活動，強調即時互動，你可以看見自己作品，被送入窯爐，參加完導覽活動之後，剛好可以拿到熱騰騰的成品，這是別處沒有的難得體驗。 【入場費用】 ● 每人$100元( 可抵用$50元) 　※ 折扣與優惠活動等皆不得合併使用。 ● 4歲以下孩童免費入場 / 65歲以上可憑證件享有9折優惠 / 20人以上團體可享門票9折優惠 ● DIY樂趣體驗 - (1)圓滿環-$80元 (2)創意彩繪-$120元 (3)繽紛彩繪-$250元 (4)快樂拼貼-$450元 (5)趣味轉印-$500元起、磁磚、馬克杯、數位熱轉印 ※最新資訊及詳細資料以業者公佈為主，參訪前請電話預約※,宏洲磁磚觀光工廠,hjtilemuseum
281,2016/08/29 17:20:47,鶯歌,www.facebook.com/pages/宏德宮-孫臏廟/118440734979068?sk=timeline&ref=page_internal,24.95819,121.35646,08:00~21:00,【大眾運輸】　1.搭火車至鶯歌站下，步行即可到達　2.從桃園總站搭乘5001於北鶯社區站下車，步行3分鐘即達。　　【自行開車】　北二高鶯歌交流道下，順著鶯歌博物館對面新闢道路蜿蜒而上，過了平交道左轉一百公尺處右手邊，即可看到宏德宮牌樓,239,新北市鶯歌區中正一路303巷1號,886-2-26794029,位於中正一路303巷內，規模不大卻精緻華麗的宏德宮，有『宏揚武德』之意，是鎮民口中的孫臏廟，也是全省第一座孫臏廟，主祠神明為戰國時與龐涓鬥法的孫臏，是撰著「孫子兵法」的孫武之後裔。由於農曆正月初三為孫臏誕辰，廟裡每年農曆正月初一至初五都有隆重法會，不少信徒專程包車前來參拜。 孫臏廟興建於民國六年，除了主神孫臏真人外，還包括孫臏的師傅王禪老祖（鬼谷子）、南極仙翁、三清道祖、九天聖帝、華陀真人等。洽詢電話:02-26794029,位於中正一路303巷內，規模不大卻精緻華麗的宏德宮，有『宏揚武德』之意，是鎮民口中的孫臏廟，也是全省第一座孫臏廟，主祠神明為戰國時與龐涓鬥法的孫臏，是撰著「孫子兵法」的孫武之後裔。 由於農曆正月初三為孫臏誕辰，廟裡每年農曆正月初一至初五都有隆重法會，不少信徒專程包車前來參拜。 孫臏廟興建於民國六年，除了主神孫臏真人外，還包括孫臏的師傅王禪老祖（鬼谷子）、南極仙翁、三清道祖、九天聖帝、華陀真人等。,宏德宮,131575693587396 
282,2015/10/07 12:22:12,新店,,24.92346,121.54498,全日開放,【大眾運輸】　1.新店捷運站轉乘公車849號至屈尺站下車，步行左轉屈尺路7分鐘即可抵達。　　【自行開車】　1.沿國道1號和國道3號前往臺北的環河路。從國道3號的 31-安坑 號出口下交流道，走新北橫公路/台9甲線前往屈尺路，即抵達。,231,新北市新店區屈尺路125號,886-2-26668220,奉祀泉州府安溪人的保護神清水祖師，由萬華祖師廟分靈而來。為有山門廣場的二進廟宇建築，左右並有鐘鼓樓，型制完整。廟前約兩百公尺處仍遺留有早年抵抗原住民的槍銃屋遺跡。農曆正月初六「祖師爺」神誕日，由頂店、下店、山腳、雙溪口、城仔等五區，輪流舉辦祭祀，儀式採用傳統的殺豬公祭典方式。,奉祀泉州府安溪人的保護神清水祖師，由萬華祖師廟分靈而來。為有山門廣場的二進廟宇建築，左右並有鐘鼓樓，型制完整。廟前約兩百公尺處仍遺留有早年抵抗原住民的槍銃屋遺跡。農曆正月初六「祖師爺」神誕日，由頂店、下店、山腳、雙溪口、城仔等五區，輪流舉辦祭祀，儀式採用傳統的殺豬公祭典方式。,岐山巖,1394162977510300 
283,2016/06/14 16:14:47,"三芝,藝術文化","http://ltlpuppet.pixnet.net/blog,www.facebook.com/LITIENLU.MUSEUM",25.25553,121.51209,星期例假日：AM10:00～PM17:00　其它時間請先來電預約,【大眾運輸】　1.搭乘捷運至淡水站下車後轉乘公車866或877至芝柏山莊站下車步行可達　　【自行開車】　1. 高速公路國道3號(基金交流道)→２號省道→萬里→金山→石門→三芝-於2號省道20公里處左轉忠孝街左轉智成街直行至芝柏山莊　2. 高速公路國道1號(五股交流道)→64號快速道路→八里五股(往淡水方向)→關渡大橋→竹圍→紅樹林→2號省道→三芝-於2號省道,252,新北市三芝區芝柏路26號,"886-2-26369174,886-2-86353917",布袋戲陪伴臺灣人走過無數歲月，是許多人心目中難忘的記憶篇章，由國寶級布袋戲大師李天祿所創辦的文物館，陳列著各種戲碼、戲頭、服飾、道具，還可以一窺演出的彩樓和南北管樂器等後台實況，演藝廳中不定期安排布袋戲演出，參觀了李天祿布袋戲文化館，大小朋友打開塵封的記憶寶盒，小朋友看得津津有味，不分世代，一同分享台灣傳統藝術的菁華。,成立於民國85年的「李天祿布袋戲文物館」，是國寶級藝人李天祿生前為了發揚、傳承傳統布袋戲藝術所推動成立的文物館。位於三芝區芝柏山莊，沿途可眺望北海岸，有種遺世獨立的靜謐。三層樓建築的文物館，紅磚及木質的陳設，讓館內充滿古色古香的質樸美感。入口處是挑高的禮品區，並有偶戲體驗區、獎牌勳章展示區、DIY製偶區，還提供畫筆讓小朋友彩繪布袋戲偶。 文物館一樓供奉了布袋戲戲神田都元帥，兩旁設置後場樂器區，推開後方古樸的大門，映入眼簾的是演藝廳，古典精緻的戲臺、排放著長凳，讓人彷彿回到了布袋戲鼎盛的時代。往樓上走，是文物館主要的展示區，展示了李天祿先生70餘年的珍貴收藏，包括有百年歷史的傳統戲偶、偶頭、偶衣及各式道具、後場樂器、大陸泉州傀儡大師黃奕缺的專區等，館內還收藏許多異國的戲偶等，象徵著李天祿對臺灣傳統文化的貢獻。展示區設有感應式的影音導覽說明，而偶衣展示架皆可360度轉動，供民眾欣賞。文物館更不定期會安排布袋戲的演出。來到這裡，可以深深感受到李天祿先生對傳統掌中戲文化的堅持與貢獻，以及其後代為了推廣布袋戲所做的努力！,李天祿布袋戲文物館,LITIENLU.MUSEUM
284,2016/08/26 16:18:33,"三峽,藝術文化",http://limeishu.org/,24.93056,121.37286,"週六日10：00?17：00 (週一至週五, 歡迎團體預約參觀)",【大眾運輸】　1.搭乘捷運至頂埔站下車，轉搭706客運至礁溪里，步行約6分鐘，即抵達。　2.搭乘火車至板橋車站下車，轉搭910、940客運至安溪國小(李梅樹紀念館)站下車，步行即抵達。　3.搭乘火車至板橋車站下車，搭乘702客運至三峽老街，步行約9分鐘。　　【自行開車】　1走國道1號，於99B-新竹系統出口下交流道，走國道3號，朝竹東/台北前進，於50-三鶯,237,新北市三峽區中華路43巷10號,886-2-26732333,1995年始遷入三峽現址的李梅樹紀念館，是為紀念三峽當地知名畫家李梅樹教授而設，紀念館空間雖然不大，卻收藏有李梅樹先生一生傑作及各項文物資料。李教授創作內容以呈現臺灣鄉土之美為主要訴求，畫風走寫實路線，一生最鍾愛的三峽風光畫作，充滿了他強調的「風、土、民、情」藝術理念。,1995年始遷入三峽現址的李梅樹紀念館，是為紀念三峽當地知名畫家李梅樹教授而設，紀念館空間雖然不大，卻收藏有李梅樹先生一生傑作及各項文物資料。李教授創作內容以呈現臺灣鄉土之美為主要訴求，畫風走寫實路線，一生最鍾愛的三峽風光畫作，充滿了他強調的「風、土、民、情」藝術理念。然而他有些作品風格卻極為特殊，例如《戲弄火雞的男孩》採用3D畫法，與世界名畫《蒙娜麗莎的微笑》有異曲同工之妙。李梅樹大師熱愛家鄉三峽，更願意耗費半生歲月修建祖師廟，造就祖師廟成為臺灣修整最久、作工最細的廟宇。紀念館內的導覽員之一正是李梅樹大師的兒子，他本身也是畫中不時出現的人物，聽著畫中之人講解畫作，更讓人增添許多趣味感與想像空間。,李梅樹紀念館,limeishu.org
285,2016/08/29 17:36:12,,,24.95267,121.35327,未提供,【大眾運輸】　搭乘火車至鶯歌火車站後，於文化路出口出站後右轉，步行約3分鐘　　【自行開車】 　1.國道3號(北二高)→三鶯交流道下→往鶯歌方向過三鶯大橋接文化路行駛即抵達。　2.國道2號(桃園內環線)→大湳交流道(八德/鶯歌出口)下→走桃鶯路往鶯歌方向，延中山路直行轉國慶街，再彎入文化路行駛即抵達。,239,新北市鶯歌區文化路275、277、279號,886-2-29603456,位於鶯歌鎮文化路上，同面已是樓房林立，對面則昃火車站鐵軌區，火車站區域有圍以圍牆。立面二層西洋式騎樓，具巴洛克式裝飾。建築優美、格局大，堅固美觀。磚造街屋，共三開間，建築為二層，樓下為店面，樓上為居住空間，有木造樓梯銜通，屋前有騎樓，騎樓連接二樓立面，採巴洛克風格建築樣式。 約建於日治時期，距今八、九十年，為三開間二層樓磚造街屋。騎樓及二樓立面磚牆採巴洛克式裝飾，頗見精緻及藝術價值。保存狀況尚好，昔日經營米糧之錢櫃等依保留，可以見證昔日鶯歌商業歷史。,位於鶯歌鎮文化路上，同面已是樓房林立，對面則昃火車站鐵軌區，火車站區域有圍以圍牆。立面二層西洋式騎樓，具巴洛克式裝飾。建築優美、格局大，堅固美觀。磚造街屋，共三開間，建築為二層，樓下為店面，樓上為居住空間，有木造樓梯銜通，屋前有騎樓，騎樓連接二樓立面，採巴洛克風格建築樣式。 約建於日治時期，距今八、九十年，為三開間二層樓磚造街屋。騎樓及二樓立面磚牆採巴洛克式裝飾，頗見精緻及藝術價值。保存狀況尚好，昔日經營米糧之錢櫃等依保留，可以見證昔日鶯歌商業歷史。,汪洋居古厝,164564266932363 
286,2016/06/16 11:59:32,"鐵道,平溪鐵道遊,鐵道三貂嶺站,瑞芳,山嶽",,25.09363,121.85301,全年開放,【大眾運輸】　1.搭乘基隆客運1062→於「金瓜石(黃金博物館)」站下車步行約2.6公里即可抵達　2.搭乘基隆客運788→於「瓜山站」下車步行約2.6公里即可抵達　　【自行開車】　1.國道1號→台62線→台2丁線→續走102線道即可抵達,224,新北市瑞芳區牡丹山,886-2-24972250,牡丹山海拔660公尺，位於瑞芳與雙溪的界稜上，也就是樹梅坪之地，山形因像伏臥的哈巴狗而容易辨識，沿線可以看見多處廢棄的礦務所舊址，雖已殘破卻是登山的指標之一，從山頂眺望草山公路景致絕佳，一般山友喜歡攀登牡丹山與貂山古道連走，然而牡丹山山區多茅草，容易迷路，山友須注意安全。,牡丹山海拔660公尺，位於瑞芳與雙溪的界稜上，也就是樹梅坪之地，山形因像伏臥的哈巴狗而容易辨識，沿線可以看見多處廢棄的礦務所舊址，雖已殘破卻是登山的指標之一，從山頂眺望草山公路景致絕佳，一般山友喜歡攀登牡丹山與貂山古道連走，然而牡丹山山區多茅草，容易迷路，山友須注意安全。,牡丹山,1487787478184810 
287,2016/08/18 11:57:30,雙溪,,25.05877,121.85199,6:00-24:00,【大眾運輸】　搭乘台鐵東部幹線非對號快車，於牡丹站下。　　【自行開車】 　下中山高八堵交流道，接台62線(萬里-瑞濱快速道路)下瑞芳交流道，沿102縣道至牡丹，循指標左轉可抵。,227,新北市雙溪區牡丹里牡丹路159號,886-2-24932980,牡丹車站早期被稱「武丹坑驛」，原車站位於舊三貂口附近，於1922年設站，在1924年才遷到現址。牡丹坡:牡丹站往雙溪站途中有一斜坡，早期列車須加掛輔機才能攀爬前進，當初為降緩火車行駛坡度，便以長度換取坡度，導致牡丹站內有一個呈120度的大彎道，產生車頭尾互望的奇特景象，有不少鐵道迷會特別在這裡等火車入站，因為不但正好可以拍到火車慢速行駛通過與車身大轉彎，還能有汽車與火車並排通行的畫面，某「T」知名日系品牌汽車廣告，就是在這裡拍攝的喔！,牡丹車站早期被稱「武丹坑驛」，原車站位於舊三貂口附近，於1922年設站，在1924年才遷到現址。牡丹坡:牡丹站往雙溪站途中有一斜坡，早期列車須加掛輔機才能攀爬前進，當初為降緩火車行駛坡度，便以長度換取坡度，導致牡丹站內有一個呈120度的大彎道，產生車頭尾互望的奇特景象，有不少鐵道迷會特別在這裡等火車入站，因為不但正好可以拍到火車慢速行駛通過與車身大轉彎，還能有汽車與火車並排通行的畫面，某「T」知名日系品牌汽車廣告，就是在這裡拍攝的喔！,牡丹車站,147430088631766 
288,2016/06/15 15:34:03,汐止,,25.06175,121.66157,07:00~17:00,【大眾運輸】　1.搭乘台鐵至汐止火車站下車，步行約半小時即可到達　2.搭乘F911公車至靜修禪院[新巴士]站下車，步行即可到達　　【自行開車】　1.國道一號至汐止交流道出口下，續走汐萬路一段，轉接大同路二段至新台五路一段，後走仁愛路至秀峰路即可到達,221,新北市汐止區秀山里秀峰路155號,886-2-26412614,秀峰山靜修禪院位於秀峰山下，創建於1911年，由汐止望族蘇爾民獨資興建，早年由月眉山靈泉寺善慧長老住持，後由慈航法師於此講經說法，當年全省佛教信徒來此參訪人潮絡繹不絕，後山建有慈航紀念堂、彌勒內院，可供遊客參觀。,秀峰山靜修禪院位於秀峰山下，創建於1911年，由汐止望族蘇爾民獨資興建，早年由月眉山靈泉寺善慧長老住持，後由慈航法師於此講經說法，當年全省佛教信徒來此參訪人潮絡繹不絕，後山建有慈航紀念堂、彌勒內院，可供遊客參觀。,秀峰山靜修禪院,522713627751126 
289,2015/12/09 18:39:24,汐止,,25.04881,121.66603,全年開放,【大眾運輸】　1.搭乘火車至汐止車站，後轉搭汐止社區巴士11號大尖山線至天秀宮下車，步行即可到達　　【自行開車】　1.由北二高，在汐止交流道下新台5線公路，往汐止方向行駛一公里後，就可以找到右轉仁愛路轉進勤進路後跟著指標秀峰瀑布上山即可。,221,新北市汐止區秀峰瀑布(大尖山風景區),886-2-26411111,秀峰瀑布位於汐止大尖山山腰，雨季水量豐沛時，氣勢非常壯觀，整個瀑水高處山壁傾洩而下，煞是好看；非雨季時，瀑水則顯得涓秀細緻，如一條白絹垂掛山谷。前往秀峰瀑布有完善的步道，成為山友及遊客造訪的熱門地方。,秀峰瀑布位於汐止大尖山山腰，雨季水量豐沛時，氣勢非常壯觀，整個瀑水高處山壁傾洩而下，煞是好看；非雨季時，瀑水則顯得涓秀細緻，如一條白絹垂掛山谷。前往秀峰瀑布有完善的步道，成為山友及遊客造訪的熱門地方。,秀峰瀑布,160073677382584 
