景點名稱,景點描述,開放時間,縣市,行政區,地址,搭乘交通運輸,經度,緯度,FB ID,打卡數
國軍歷史文物館,國軍歷史文物館，簡稱「軍史館」，於民國50年10月31日落成啟用，樓高3層，各樓層總面積約450坪。建館目的旨在藉陳展國軍各時期文物史料，以弘揚黃埔建軍精神，彰顯國民革命軍東征、北伐、剿共、抗戰、戡亂、建設台灣各時期光輝史蹟，與當前國軍精實壯大實況，期增進國人愛國情操，建立全民國防共識。軍史管有3個樓層，共計6間陳列室。從第一到第3陳列室，依照歷史時序呈現國軍自1924年黃埔建軍以來，共經歷的東征北伐、抗日、國共內戰等階段，藉由文物、照片、史料、檔案、戰畫等各種素材來再現歷史。第四陳列室以現代化國軍為主題，以照片、模型、及場景，呈現我陸、海、空軍軍備戰力。第5陳展室則展出各時期的武器裝備。此外，於特別展室定期舉辦專題特展，以宣揚國軍英勇史蹟。臺灣60年來沒有經過戰爭，年輕人從未感受到戰爭的可怕，只有從書上或是電影上的印象。但是和平向來都是付出了非常大的代價，來此走一遭，將更能體會戰爭的可怕與和平的寶貴。,"免費參觀
週一至週六09:00-17:00 
公休日：周日、國定假日或機關停止辦公，停止開放",臺北市,中正區,臺北市  中正區貴陽街1段243號,捷運站名：西門站2號出口1.公車：38、235、270、652、656、657、662、663至東吳大學城中校區站，9、12、49、202、205、206、212、218、223、231、234、242、246、249、250、252、253、260、262、263、265、302、304承德線、304重慶線、307、310、527、601、604、624、628、651、652、660、662、667、701、702、705至捷運西門站 慶線、307、310、527、601、604、624、628、651、652、660、662、667、701、702、705至捷運西門站 2.車位：南昌廣場停車場或寧波東街9巷18號停車場,121.50829,25.03937,1456050744618990 ,4756
小南門,臺北城是清朝最後所建城池之一。當年的城牆如今皆已傾圮，只留下幾座城門遺跡，成為歷史的見證。臺北城的城牆寬4公尺、高5公尺，圍繞約4公里，是座非常堅固的城池。 一般的中國城牆都有4個門，可是臺北城有5個門，據說是當時的板橋富商林本源家族為了方便出入，特別捐贈所建造的。雖然這樣的傳說尚未受到證實，但小南門在中國式的城池建築中，的確是個非常特別的例子。可惜的是，雖然它和東門、南門一起逃過了日本人的摧毀，但卻在國民政府來臺後，被改建成北方宮殿式的城樓，只有底部的城座仍然保持當年原始的樣貌，繼續守護著臺北。,古蹟建築(參觀外觀),臺北市,中正區,臺北市  中正區愛國西路,捷運站名：小南門站1.公車：12、38、202、205、206、218、218(夜)、218(直達)、223、231、231(直達車)、234、242、243、245、246、249、250、252、260、262、263、265(左)、265(右)、270、302、304承德路、304重慶北、307、310、604、601、624、651、656、657、658、660、667、701、702至小南門站或和平院區站 2.車位：貴陽街停車場,121.50808,25.03693,112503842201036 ,515
南門-麗正門,南門又稱麗正門，於西元1884年（清光緒10年）完工，是當時臺北府城的主門，因此形制與尺寸是幾個城門中最宏偉的，所用石材來自大直一帶，構工精細、歷久彌新。石額四周採用螭龍圖案，與其它城門均不同。日據初期，日本人搗毀了臺北城的城垣、城廓及西門。南門雖幸運被保存，但卻也因年久失修而日漸殘破。國民政府來臺後，政府整修舊城門，南門遂被重修成中國北方宮殿式的城樓建築，大失原貌，但石砌的城座、園拱門洞則幸運的保持原樣。 南門位在公園路、南昌街、愛國西路的交叉口，旁邊就是一級古蹟的菸酒公賣局大樓，和高牆深鎖的總統官邸，便衣和警察三步一崗五步一哨，讓行人不由得只想快步經過，至為可惜。下次經過這兒，何妨停下腳步，好好端詳這座曾經擔負守護重任的臺北大門。,古蹟建築(參觀外表),臺北市,中正區,臺北市  中正區愛國西路與公園路交叉處圓環,捷運站名：捷運小南門站1.公車：38、262、262(區間)、304正、304副、604至捷運小南門站 2.車位：國立中正文化中心地下停車場,121.515266,25.035201,236482446372502 ,95
二二八和平公園,二二八和平公園位於臺北市公園路、襄陽路、懷寧街與凱達格蘭大道所圍成的街廓內，古典風格的都會公園，園內有日本庭園式造景池塘、拱橋、綠地步道及露天音樂臺，而台北二二八紀念館和紀念碑也設立在園區內。 1995年，李前總統代表政府，在二二八紀念碑前向受難家屬致歉，同年內，前臺北市長陳水扁也將「臺北新公園」改名為「二二八和平公園」希望藉此安慰受難者家屬心中的哀痛，更希望後代子孫能記取歷史教訓，共同為臺灣的前途和人民奮鬥。1997年，二二八事件50周年時，「二二八事件紀念碑碑文」完成銘刻揭幕儀式。同時也設置「台北二二八紀念館」藉由紀念館展覽，將事件始末以及受難史實公諸於世。唯有認清歷史和發現事實，為自己和後代追求幸福，才能獲得真正的平靜。,開放空間,臺北市,中正區,臺北市  中正區臺北市懷寧街、襄陽路、公園路、凱達格蘭大道口,捷運站名：臺大醫院站，沿凱達格蘭大道步行即可達二二八和平公園。1.公車：搭乘15、18、22、220、220夜、220直行、247、257、276、287、287夜、513、621、信義新幹線、重慶幹線(中興)、重慶幹線(光華)至二二八和平公園站2.車位：臺大醫院訪客停車場及二二八紀念公園附近有停車位,121.515468,25.040363,156118517752484 ,60892
成功高中 蝴蝶宮‧昆蟲科學博物館,臺北市立成功高中「蝴蝶宮．昆蟲科學博物館」歷經多年籌備始於西元1971年1月1日開幕，西元2009年完成新館搬遷嶄新落成，更名為「蝴蝶宮．昆蟲科學博物館」。 本館特色： 1.以昆蟲為主體的常設設備而言，本館展示面積、標本、相關文物之種類、數量、項目是全世界第一。 2.有極為豐富的收藏上稀有珍貴標本以外，還有無法價購的無價之寶，如新種、未記錄種及陰陽蝶、異常行蝶、種間雜種等等。 本館獨創融合特色： 1.傳統的博物館學『昆蟲博物館』：館內展的昆蟲標本總數三萬兩千多件，標本種類約五千種。 2.昆蟲科學教育館 3.昆蟲藝術館 4.昆蟲民俗博物館 資料來源成功高中昆蟲科學博物館,"一般民眾參觀：每週六(公益開放日) 上午10:00-16:00
團體參觀：每週一至週五 上午10:00-12:00下午13:30-16:00
(團體參觀請先來電預約並於參訪前兩週以公文向成功高中申請， 團體人數超過20人可申請專人導覽。)",臺北市,中正區,臺北市  中正區濟南路1段71號(綜合大樓3樓),捷運：善導寺捷運站公車：0 南、15、22、37、211、222、671、265、208（成功中學站）57、257、262、忠孝幹線（行政院站）,121.523642,25.042389,butterflymuseum,452
臺北愛樂暨梅哲音樂文化館,成立已邁入第25年的臺北愛樂管弦樂團，不論在國內外均贏得重量級的肯定，帶領他們成長卓壯的靈魂人物就是亨利梅哲先生，曾領軍臺北愛樂到世界5大音樂廳的「維也納愛樂廳」演出，寫下輝煌的歷史紀錄。梅哲總監於2002年辭世，享年84歲，為紀念亨利梅哲先生，臺北愛樂暨梅哲音樂文化館，於焉成立。館內地下室為梅哲文物展覽區、排練廳、視聽區。展覽區有梅哲文物、樂譜和梅哲照片。咖啡區提供咖啡、下午茶、茶點，可無線網遊。在梅哲音樂文化館，你可以聽CD和黑膠唱片，閱讀音樂書籍，看國外音樂會DVD，歡迎各愛樂者前來參觀。5月起每週日下午有室內樂演出，另外文化館附有排練空間場地，適合室內樂演出及排練，提供租借，各種講座、發表會、藝文活動都歡迎在此舉行喔。,週一至週五10:00~18:00，假日不一定開放，國定假日公休，請電洽或上網查詢,臺北市,中正區,臺北市  中正區濟南路1段7號B1,捷運站名：善導寺站，沿林森南路到濟南路右轉，步行約10分鐘公車：211、222、265、297、615、671 至成功高中站，15、22、22(區間車)、49、208(高架線)、208(基河)、211、246、265、295、297、651、671至開南商工站或善導寺站,121.52179,25.042901,tpcms,874
國立臺灣博物館 (土銀展示館),座落二二八公園對面，為自然史為主的古生物展覽館，是日據時期遺留下來的勸業銀行古蹟再利用。外部為巨大羅馬柱廊的石造建築，牆面材料則為分割灰縫作法，鑄鐵窗採用滑輪與重錘省力的上下開閉，且鑄鐵窗都嵌入六角網目鐵絲網壓花處理玻璃，可藉此見證當時的營建技術與工藝水準。挑高三層樓的大廳以石膏浮雕泥塑板作為裝飾構件，裡面展示各樣古生物標本與大型恐龍模型、大象林旺標本等，另常設有土地銀行行史金庫與建築修復的展覽。,週二至週日9:30-17:00 週一、除夕及春節初一休館 逢國定假日及連續假期均照常開館,臺北市,中正區,臺北市  中正區襄陽路25號,其他: 1.公車：20、222、236、237、241、243、244、245(青山線)、245(副)、249、251、263、513、532、621、644、651、670、706、706(區間車)至博物館(襄陽路)站 2.車位：二二八和平公園附近可停車,121.514161,25.043566,352316328161222 ,8291
國立臺灣博物館,這是臺灣歷史最悠久的博物館，1899年設立了此館前身「臺灣總督府民政部殖產局商品陳列館」，1908年，正式設立「臺灣總督府博物館」於今總統府後方的舊彩票局。清代舊天后宮原址被拆除，其地建造「兒玉總督後藤民政長官紀念館」，1945年改名為「臺灣省 博物館」，1949年更名為「臺灣省立博物館」，1999年定名為「國立臺灣博物館」。這位於臺北火車站前的博物館，外觀為希臘式建築，有巨大柱子和花葉紋飾的牆、羅馬圓頂，大廳四周有32根柱子，柱頭上有精緻的裝飾，圓頂下是一面彩繪玻璃天窗，陽光穿過玻璃，在地面映出美麗的光彩。它歷經臺灣的滄桑歷史，仍有著當年創館的規模。除了各期展覽，館內舉辦各種活動，歡迎學生、教師、親子、社會人士來參加。,週二至週日每日上午9:30起至下午5:00止,臺北市,中正區,臺北市  中正區襄陽路二號,捷運站名：臺大醫院站1.公車：20、222、236、237、241、243、244、245(青山線)、245(副)、249、251、263、513、532、621、644、651、670、706、706(區間車)至博物館(襄陽路)站 2.車位：二二八和平公園附近可停車,121.51501,25.04328,NTMuseum,60630
五指山系-忠勇山、鯉魚山親山步道,內湖人氣極佳的三座郊山包括忠勇山、鯉魚山及圓覺尖山，又叫內湖三尖。海拔高度分別為325公尺、223公尺及290公尺，忠勇山為五指山最大支稜，山形成典型的尖峰狀，因此又稱為大尖山，鯉魚山山形則頭高尾低狀似鯉魚，又有小尖坑山之稱，圓覺尖山則山勢較小，山腰有圓覺禪寺而得名。忠勇山鯉魚山親山步道 忠勇山、鯉魚山親山步道起點位於內湖大湖山莊站旁，沿線經過數個著名的寺廟有碧山巖、金龍寺、圓覺禪寺等，而景致優美的圓覺瀑布也在其中，步道居高臨下、眺望臺北市街景，視野及景觀極佳。沿著步道緩步上行，會聽到大溝溪淙淙的溪水聲，循著大溝溪木造長廊前行，溪谷與山林襯映，一路走來格外清新舒暢。越往裡走步道林相越顯茂密，綠蔭遮天、小花伴隨，偶而還可聽見五彩羽鳥鳴聲高唱，讓人興奮不已。步道盡頭為內湖路三段的金龍禪寺所在，在路旁十八羅漢相送之下，這一段親山步道行程即將畫下據點。忠勇山 忠勇山的最高點有座蔣公銅像，若從金龍寺方向往上走，沿途的石階又多又陡，像是在爬好漢坡一般，是條較不省力的反向登走。置身忠勇山頂，幾乎可見大半個臺北市區景象，這也見證了過去忠勇山曾是內湖舊八景之一。鯉魚山 鯉魚山位於忠勇山東南方，兩山連稜，有顆四等三角點，整座山勢呈頭高尾低，因酷似鯉魚而得名，也有人稱小坑尖山，若由兩旁斜坡望去，可見陡峭山勢和濃密樹林延伸至山腰下的自然景象，非常好看。山野中的童趣發想 你有多久沒親近溪流了？古人說，仁者樂山、智者樂水，經過背倚鯉魚山的葉氏祖廟，再走一小段路就可既親山又近水。 沿著步道緩步上行，你一定會聽到淙淙溪流聲，就循著隱身林間的木造長廊，先到圓覺小溪享受這難得的清幽。從公車站到登山口的路程不算太長，但也小有距離，上山前先在親水平台小歇，沁涼的溪水帶來許許涼意，眼前典雅的小橋、不遠處流瀉的瀑布和溪谷襯映青翠的山景，置身其間感覺特別清新舒暢。週末假日這裡是親子同遊的親水樂園，下到溪間抓魚、撈蝦或戲水，小朋友快活的嘻笑聲不在話下，一旁的大人彷彿也回到無憂無慮的孩提時光。帶著這份童心童趣上山去，鯉魚山步道沿途路面不時出現小魚造型的地磚，山頂涼亭周圍地面除了有藍白二色的小魚，還有舖貼小瓷磚的梅花造形小座椅，就連石階旁鮮明的「鯉魚山」三個字也像是蠟筆塗鴉，儼然到了小朋友的童話世界。沿途步道兩旁由山友創作、各式各樣的「小人國」造景造型互異，不但讓人大開眼界，從台灣北到南的台北車站、石門水庫、鵝鑾鼻燈塔等重要地標，到日本的日光華嚴瀑布，乃至於聞名世界的萬里長城，型態雖小卻唯妙唯肖。山林饗宴其樂無窮 忠勇山的最高點有座蔣公銅像，所以早期登忠勇山如同「朝聖」，若從金龍禪寺方向往上走，沿途石階還不少，免不了會覺得像是在爬「好漢坡」。 來到全台葉姓祖廟前，高大的杉木聳立道路兩旁，頗有幾分參拜日本神社的味道。路邊林間兩座仿日式石燈籠更為這氛圍加分。而葉姓祖廟背靠鯉魚山，從這個角度望去，後面的尖山就像是一座金字塔。步道沿途林相茂密，綠蔭遮天，即使炎炎夏日造訪，也不用擔心要受日曬之苦。初夏季節，攀附在樹上的酸藤開滿粉紅色小花，彷彿為樹木披上了一層淡雅的薄紗；步道隨處可見蝴蝶飛舞，若是稍加留意，有時也能看到成群的台灣藍鵲飛過，耳畔時常傳來的嘓嘓嘓叫聲則是有著五彩羽衣的五色鳥。 忠勇山山頂小公園附近，視野良好，近看大湖和白鷺鷥山、稍遠處是汐止一帶山丘，往另一側的北面望去就是大崙頭尾山，而遠眺可見鄰近台北東區的四獸山，幾乎是將台北地區的遠山近水「一網打盡」，難怪忠勇山過去曾是內湖舊八景之一。位在山腰的碧山巖也是大家公認的賞景好所在，站在寺前平台俯瞰，群山環抱的台北盆地盡入眼底，近處見鯉魚山、山腳下的梯田和金龍寺全景，遠處是蜿蜒的基隆河和淡水河、信義區摩天大樓；山水相映成趣，如果晴空高照，往東可遠望九份雞籠山、金瓜石的茶壺山，往西眺望林口台地，往南則見北橫群山。下山時，道路旁高與人齊的十八羅漢像姿態萬千，涼亭旁的碑文也頗具禪意，或能獲得啟示，那此行可真是「收穫滿行囊」啦！,開放空間,臺北市,內湖區,臺北市  內湖區大湖山莊街131巷,1. 公車藍20、藍27、214、247、256、267於「環山站」下車。 2. 公車240、247、267、521、小2於「金龍禪寺站」下車。 3.回程:下山後走到金龍寺公車站圓環，在公車「金龍寺二」站，可搭聯營公車222、521、藍27或247前往捷運「內湖」站或「大湖公園」。,121.601662,25.08592,251176621564810 ,1050
E=MC2 (相對論),標題是愛因斯坦的物理學公式：能量=質量乘以光速的平方。它是能量與質量之間的互換原理，可延伸為時間-人文-空間的關係，也和作品正三角結構一般，是基本的堅固的原則。鏡面不鏽鋼的反光效果，把周圍景色映照在內，精密技術的特質也和當地高科技企業重鎮相得益彰。逐漸地，此作可成為學校標誌和地域性的地標。,開放空間,臺北市,內湖區,臺北市  內湖區內湖高工校門外廣場,,121.575197,25.079554,1589322611316050 ,43536
碧湖公園,碧湖公園面積約有13.1公頃，鄰近國立戲曲專科學校，園中有座大埤湖，面積約7公頃，昔日為農業灌溉用的蓄水池塘，76年改建為公園，之後便成為周邊居民休閒場所。園中有中式之涼亭、九曲橋及環湖步道等設施，湖岸周邊植有柳樹、落羽松、白千層、阿勃勒、鳳凰木、扶桑、杜鵑、 矮仙丹，春夏季節有繁花盛開，加上湖光山色的景色，與大湖公園有異曲同工之妙。此外，園中管理中心一樓設有容量約45人座位之閱覽室，可提供民眾進修，另有網球場、游泳池等健身設施，除遊園賞景、運動之外，還可垂釣及登山健行，園中共有6條登山小徑，沿途也設有亭閣可休憩，環境十分清幽。,全天開放,臺北市,內湖區,臺北市  內湖區內湖路2段175號,"捷運站名：文德站一、自行開車：1、過大直橋沿北安路接內湖路一段至文德路左轉接內湖路二段可達碧湖公園。2、以台北車站為起點往大直到內湖(湖光教會)有分岔路，往內湖國小方向直走，即可達碧湖公園。二、搭乘公車：1、搭乘梯營公車21、藍27、28-247-267、278、521「達人女中」站下車，步行百餘公尺，即到達碧湖公園。 2、搭乘公車小2復興劇校-，即到達碧湖公園。3、搭乘公車222,240,240(麥帥),240(新明路),256,256(副),藍20,藍27中央國宅，即到達碧湖公園。4、搭乘公車222,240,240(麥帥),240(新明路),256,256(副),紅31,藍20,藍27西湖園，即到達碧湖公園。停車場:港富平面停車場　",121.581244,25.08222,588940121189611 ,16991
碧湖步道,"碧湖步道連結內湖路三段60巷12弄與大湖街131巷間，總長1,327公尺，當地動植物資源相當豐富，沿途可見台灣藍鵲、大冠鷲、赤腹松鼠、緣點白粉蝶等棲息出沒，且當地氣候、水文、土壤條件適合，相思樹林、大葉楠、蕨類、原生耐陰性植物等皆生長茂密。且因省轄時期，當地煤礦業興盛，林區特於1k+000處規劃一處復舊礦坑意象景點，包括礦坑隧道、軌道、及裝滿煤渣的礦車等，題名為「新福本坑」，供民眾了解其地方歷史及文化產業之脈絡。周邊鄰近忠勇山、鯉魚山、圓覺寺登山步道、圓覺瀑布、大湖公園等熱門景點，是民眾早晚健行、週末休閒的好處。",全程沿線皆設有路燈，可於夜間來行走步道及欣賞夜景。,臺北市,內湖區,臺北市  內湖區內湖路三段60巷12弄與大湖街131巷間,搭乘捷運至內湖站或大湖公園站，皆可步行至步道口。1. 公車240、247、267、521、小2於「金龍禪寺站」下車，步行至內湖路3段60巷登山口。 2. 公車278、284、287、617、620、630至「大湖公園站」下車，沿大湖山莊街步行至大湖街131巷入口。,121.591965,25.088918,100432580115632 ,4235
成長與教育,以裝置手法植入鋼雕的公共藝術品，由三件作品組合成一套，代表學校教育是在培養學生成為每個獨立個體身心健全的國民，也彰顯出內湖高中優良的教學精神。,,臺北市,內湖區,臺北市  內湖區文德路200號  臺北市立內湖高級中學第三棟大樓前,,121.586462,25.078204,107624029267388 ,14865
大湖公園,大湖公園湖泊因白鷺成群又名白鷺湖，位於內湖區成功路5段，毗鄰白鷺山，遙指五指山、忠勇山等，佔地約13公頃餘。民國68年仿中國園林興建，大湖湖泊面積約10公頃餘，屬區域性公園。其依山傍水，水岸蜿蜒曲折，湖面波光粼粼，視野開闊，拱橋彷彿垂虹，每當山橫春靄，新柳拂水，遠處嵐影，盡入眼簾；亭中小歇、宜眺宜憩，雲水變幻，騁懷遊目，景色秀美；每當夏秋之季，煙雨瀰漫，仿如畫中，在2012年5月登上法國世界報。 惟大湖公園開闢迄今已三十餘年，存在許多問題，因此公園處於2008年著手辦理大湖公園環境改造工程的規劃設計，期望再創大湖公園風華。 為減少對市民遊憩之影響，「大湖公園環境改造工程」分為2期進行，第一期工程包括可增加市民晨昏運動又有大樹遮蔭的綠茵廣場，大大提升優質的活動空間；豐富大湖生態生態浮島，完成後已成為鳥類覓食與築巢的棲地，也提供魚類產卵、覓食、遮蔽棲息的良好場所，同時吸引許多水生昆蟲，目前已可經常見到白鷺鷥、水鴨等棲息其中；大湖西側路堤擋土牆影響湖域景觀，經過採用木排樁護岸生態美化工法的改造，原本生硬的混凝土牆已是綠意盎然；銜接大湖各水池間階梯便橋，常造成娃娃車、輪椅、老人家遊園時的障礙，經無障礙動線的改造後已是暢行無阻；過密的樹木使得公園陰暗不已，也易滋生蚊蟲、草皮無法生長，經過適當的修剪、疏植等改造手法，陽光從葉間灑落，樹下草皮綠意盎然映入眼簾是陽光綠地的優美景緻；民眾喜愛的釣魚活動，在改造工程中亦規劃了舒適的釣魚木平台，不僅有舒適的木座椅並有著夜間燈光，在黑夜中同樣能盡情垂釣。  第二期工程以泳池建築工程為主，將原本結構出現問題的泳池予以重建，改造後的大湖泳池將成為符合綠建築理念的活水中心。在建築外觀上採用覆土式的地景建築，不僅不會因為量體大而造成景觀壓力，反而與大湖公園的美景充分融入，同時亦能減少輻射熱而達環保節能之效；並將屋頂設計為觀景平台，讓您遊園漫步中，不知不覺已登高望遠並將大湖美景收入眼簾；另外在充份考量當地的陽光、風等微氣候環境，巧妙的運用遮陽格柵、開窗形式與方位等設計手法，讓讓室內泳池不僅採光良好、溫度舒適，擾人的氯氣味道也將消失無蹤；而遠近馳名的50M長水道泳池也將予以保留，並將泳池週邊妥善綠美化，改造後將與公園景觀充分結合，置身其中將彷彿悠游在大自然中。 大湖公園環境改造工程第一期工程於2011年8月18日完成並已開放市民使用。第二期泳池工程已於101年2月20日開工，已於103年初整體完工以嶄新面貌與市民朋友見面。誠摯的邀請您能蒞園一遊，除遠離塵囂、遊園賞景、漫湖岸垂柳步道欣賞湖光山、徜徉落羽松林吸收大自然精華及享受青草香外，同時可進行垂釣、野餐、游泳等各項活動，若能再結合附近山區的健行活動，大湖公園將是進行半日或一日遊的最佳休憩景點。 資料來源：公園路燈工程管理處,全天開放,臺北市,內湖區,臺北市  內湖區成功路5段31號,捷運文湖線站名：大湖公園站公車：247、284、287、617、620、630、677、681、棕10、棕19、紅2至捷運大湖公園站即可到達。,121.60231,25.08282,660185987356080 ,44054
防災科學教育館,"有鑑於日本於1995年1月17日發生芮氏規模7.2的阪神大地震，死亡6,430人，受傷4萬餘人，房屋全倒、半倒達51萬餘棟，包括公共設施等損失大約在10兆日圓左右，是日本戰後僅次於伊勢灣颱風，所遭受的第二大天然災害。爰此於同年（84年）7月10日，臺北市政府消防局改制成立，為提昇市民防災教育讓市民同胞體驗災害，進而了解防災的重要性，著手規劃設置臺灣第一座防災科學教育館。為了讓市民了解各種災害的歷史及特質，臺北市政府消防局防災科學教育以電腦、電子、機械設備，模擬各種災害發生狀況，供市民實地操作體驗，使防火、防洪、防震、防颱等緊急避難知能，自然地融入日常生活中，以「寓教於樂」方式，提昇市民災害應變能力。期盼於參觀體驗後，能將獲得之防災知識與技能，轉述親朋好友知道，俾讓大家與災害絕緣，遠離災害威脅。","每日上午09:00~12:00、下午02:00~05:00
(週一休館)",臺北市,內湖區,臺北市  內湖區成功路二段376號,公車：（一）內湖區行政大樓站 :0東、214、278、286、521、617、630、645、645(副)、652、903、紅29、紅32、藍27。（二）湖興站 :28、240、240(直達車)、256、284、284(直行車)、284(區間車)、551、小3、藍20、藍36、棕9。,121.590337,25.06935,466237670147664 ,4292
五指山系-白鷺鷥山、康樂山、明舉山親山步道,白鷺鷥山、康樂山、明舉山這三座山在大湖公園與老樹的簇擁下，形成三段串連的親山步道，也是內湖區居民經常運動、健身、聚會的地方。白鷺鷥山親山步道白鷺鷥山親山步道為內湖大湖公園旁，這條步道因左彎右拐、蜿蜒繞行而上，因此又叫五十彎步道，通常走至半途就已分不清東西南北方向了，所以指北針在這時是相當好用的。白鷺鷥親山步道谷地古老的蕨類植種類豐富，像是筆筒樹、觀音座蓮，其他如相思樹、江某樹也都長得頭好壯壯，能散發出令人心曠神怡的芬多精。康樂山親山步道 康樂山步道起點位於內湖成功路五段黃石公廟旁，步道上林蔭遮天、涼風習習，是晨運族最常去的山中小徑，步道的最高點也是欣賞大湖公園的最佳據點。途中的橄欖樹、大榕樹無疑都是步道主要的地標，尤其是後者，有樹圍寬4公尺的老榕，枝葉繁盛、綠意盎然，當地人稱其為「榕伯神木」。明舉山親山步道 明舉山親山步道保有較多的森林原貌，途中的三棵大葉雀榕大樹，樹圍與康樂山的榕伯神木差不多，有三巨頭之稱，是一條鄉野氣息濃郁的狹窄山徑。山友從事明舉山親山步道健行，通常會與前述的白露鷥山、康樂山親山步道一起同遊；明舉山一路走到出口處，正是內溝生態展示館所在，順道進入館內參觀便成為假日休閒的最佳活動。原始森林樂趣多 怎麼樣，週末假日來一趟步道探險之旅吧。先從白鷺鷥山走起，登山口是條小徑，也許是離市區太近，繞過廢土區和菜畦，空氣中還殘存著混雜的氣味，戀戀芬多精的期待油然而生。 白鷺鷥山步道又名「五十彎步道」，繞著平緩步階蜿蜒而上頗為悠閒，但左彎右拐間，走到半途通常就已分不清東南西北。 不過，你一定還是會發現，姿態不一的枯木栽在步道這般奇景。其中大部分是在這林中經常出現的山黃麻。在台北近郊的自然殘留林裡，山黃麻數量這般多並不常見。 山谷地的古老蕨類像是筆筒樹和觀音座蓮，也飆到一、二層樓高，這種林相在內湖地區倒是不常見到。往南坡方向也可找到頭好壯壯、樹圍約一個人抱的相思樹和江某樹。高大樹木散發出令人心曠神怡的芬多精，此刻只覺神清氣爽，彷彿從山林之間汲取了不少能量。 探訪老樹伯 不讓白鷺鷥山專美於前，康樂山和明舉山也都有古老的樹木，體格壯碩的也不在少數。康樂山步道上，還有台北市最大的橄欖樹呢。這樹圍近300公分的百歲樹伯屹立在上坡水泥路面途中、山海寺遺跡旁，據說這寺廟因屬違建所以難逃被拆除的命運，而百年來橄欖老伯不知歷經多少風雨還是依舊萬年長青，身子骨一樣硬朗如昨。告別老橄欖樹往上走，水泥路面已消失，取而代之的是樸質樹根和泥土路徑。幽雅靜謐的森林中途，經過一棵枝葉繁盛的大榕樹。如此「德高望重」，自然是康樂山步道的地標，當地人還稱它為「神木」。顧名思義，這樹圍約四公尺的榕伯當然也是長壽一族啦。明舉山在步道後段，也有一棵和「康樂山神木」樹圍不相上下的大葉雀榕。這條鄉野氣息濃厚的狹窄山徑，在入口不遠處和中途另有兩顆大榕樹，雖然年代不可考，在這視野較不寬闊的路段上，這「三巨頭」可是沿途重要的景觀。湖光山色它自美  五指山系位於台北盆地的東北向，不論地形或氣候都是處在轉接的位置，是季風隨著基隆河谷進入平原的出口，也是周遭廣大群山進入平地的前哨。因為壓縮兩種生態特色，所以物種特別豐富。這說明了三個山丘雖不高卻有清幽環境和茂密林相的原因。 康樂山的高度只有白鷺鷥山的一半，但也許是距離產生美感，大湖公園就在白鷺鷥山山腳下，康樂山步道的最高點卻是欣賞大湖公園的最佳地點。而白鷺鷥山山頂的平台除了近處的大湖公園、五指山系，還可遠眺汐止、基隆一帶。附近有一間簡陋的屋棚，旁邊還有卵石步徑，地面是未整修的黃土，和前後步道整齊的石階大異其趣。但白鷺鷥山倒是在「五十彎」的首個彎道就出現第一個休憩涼亭。不像康樂山是在步道盡頭才見名為「山水亭」的涼亭可供休息。因為兩個路段路程差距不大，山頂也都有地方可歇歇腳，所以其實休憩點也都夠用。至於路徑原本就較狹窄的明舉山步道，一路走到出口處，直接來到內溝溪畔聽溪流潺潺，洗去一身疲憊，更是舒暢愜意。,開放空間,臺北市,內湖區,臺北市  內湖區金湖路268號,捷運站名：搭文湖線至「葫洲」站下車。沿康寧路三段，往內湖路圓環方向，走到金湖路268號。1. 公車278、284、287、617、620、630於「大湖公園站」下車。 2. 公車21、240、278、53、646、棕9至「團管區站」下車，再步行至金湖路268號民宅登山口。 3. 公車53、278、281、287、630、646、903至「東湖國中站」下車。 4.回程:下山後走到康樂街，在公車「忠三街口」站(瓏山林社區旁)，轉搭281、藍12、小1(區間車)各線，到捷運「昆陽」站轉乘捷運回家。,121.600517,25.077111,185652164806064 ,4884
內科探索館,"內湖科技園區簡稱「內科」，是本市最重要的科技產業重鎮，進駐廠商從90年底的600多家，成長到目前已超過3,000家。 為了有效型塑及行銷該園區科技特色，特依據94年12月7日臺北市政府觀光委員會第30次委員會議決議：「內科需要一個像台北探索館的小內科博物館來介紹內科發展的歷程」，是以積極規劃建置本展館，並期將本館打造為科技博物館。本展館面積約250坪，設有入口意象、內科傳奇、科技聚寶盆、臺灣之光、內科軟實力、願景等6大展區， 21個展題。利用展板、劇場、模型、軟硬體互動設施等手法，展現園區發展、科技演變歷程及未來願景，並提供園區廠商科技展現平台。","週一至週五，上午9：00至下午5：00。
週六、週日及國定假日暨民族節日休館。",臺北市,內湖區,臺北市  內湖區洲子街12號3樓,捷運內湖線港墘站2號出口【A】捷運港墘站(內湖高工)：21、28、214、222、247、267、268、286、 287、620、646、677、681、683、藍26、紅2、內科通勤專車19 【B】港墘派出所站：0東、21、222、551、646、652、紅3、棕16、藍26、藍7&nbsp;【C】內湖運動中心：0東、222、551、646、內科通勤專車：17、19、棕16、藍26、藍7&nbsp;【D】瑞光港墘路口：21、552、645、902、950、小2、紅3、紅31、藍27、棕20；內科通勤專車：2、3、5、6、7、8、10、11、12、13、15、16、17、18、19、20、圓山直達車、市府直達車&nbsp;,121.57516,25.07819,371301056252871 ,111
